iter	RMSE
0	356911.6599
1	343261.6619
2	330338.412
3	317384.7345
4	304928.3404
5	293657.5773
6	282771.9498
7	272094.1234
8	262352.1231
9	252915.5814
10	244101.2835
11	235313.2492
12	227384.9107
13	219779.3267
14	212585.5888
15	205826.587
16	199349.2182
17	193314.6031
18	187681.5979
19	182531.1349
20	177830.6702
21	173032.0085
22	168714.1474
23	164533.3889
24	160682.3062
25	157023.508
26	153602.5805
27	150281.0451
28	147503.9983
29	144696.6983
30	141890.409
31	139436.0441
32	137111.6163
33	135035.6577
34	133092.3818
35	131103.0403
36	129317.7229
37	127737.5801
38	126224.1489
39	124434.1498
40	122782.6538
41	121212.7568
42	119741.6082
43	118300.15
44	116910.349
45	115663.2132
46	114598.3308
47	113437.3404
48	112406.0339
49	111419.971
50	110583.2991
51	109749.3834
52	109046.3715
53	108366.1827
54	107690.5561
55	107106.1293
56	106511.8969
57	105938.7692
58	105655.8512
59	105229.5644
60	104768.3
61	104246.3485
62	103778.9773
63	103394.0681
64	102904.3686
65	102574.6951
66	102124.6008
67	101749.6812
68	101408.983
69	101030.7993
70	100777.9511
71	100556.7159
72	100367.195
73	99991.80249
74	99722.62516
75	99483.90033
76	99217.10381
77	99029.10442
78	98795.0879
79	98581.23169
80	98294.437
81	97953.95507
82	97702.27424
83	97419.56625
84	97186.86483
85	96994.88873
86	96733.12791
87	96549.59725
88	96376.42071
89	96123.41948
90	95954.8127
91	95789.03405
92	95582.58855
93	95397.04828
94	95192.27502
95	95052.81495
96	94914.56077
97	94826.96835
98	94754.68897
99	94653.04454
100	94416.44826
101	94274.71841
102	94134.86986
103	94042.45779
104	93925.77874
105	93823.90672
106	93736.50797
107	93594.33673
108	93465.02643
109	93364.22598
110	93271.50078
111	93096.30669
112	92989.70689
113	92852.29388
114	92763.21149
115	92705.10928
116	92613.93844
117	92554.69668
118	92418.57391
119	92309.92742
120	92191.09362
121	92088.75494
122	92043.96335
123	91943.99161
124	91842.44763
125	91752.17602
126	91699.42097
127	91646.09395
128	91550.16642
129	91447.03315
130	91345.1435
131	91270.18705
132	91224.90364
133	91147.33624
134	91066.11368
135	90992.20441
136	90864.15297
137	90762.46603
138	90678.66883
139	90546.10811
140	90517.06895
141	90422.007
142	90348.99123
143	90214.79036
144	90146.14894
145	90125.0986
146	90072.69311
147	90039.89111
148	89938.2756
149	89902.1668
150	89815.11125
151	89692.24757
152	89631.31472
153	89550.69583
154	89486.74128
155	89407.94975
156	89336.92297
157	89289.84588
158	89179.95521
159	89089.26837
160	89016.67289
161	88966.25758
162	88898.54552
163	88796.10555
164	88730.9392
165	88675.00777
166	88608.86867
167	88547.18073
168	88457.24451
169	88361.45015
170	88257.59045
171	88255.42473
172	88137.77091
173	88064.7247
174	88027.73562
175	88004.96186
176	87904.33393
177	87854.57799
178	87819.81019
179	87762.75097
180	87688.37667
181	87597.38241
182	87525.32567
183	87507.18793
184	87448.30732
185	87366.43512
186	87290.43287
187	87260.63746
188	87221.58069
189	87158.38541
190	87111.71603
191	87060.71728
192	87019.3233
193	86986.2706
194	86938.97723
195	86846.12188
196	86810.91903
197	86754.73693
198	86719.05498
199	86667.14214
200	86626.07591
201	86594.56839
202	86569.51725
203	86516.34957
204	86512.68933
205	86440.48858
206	86403.44245
207	86358.03515
208	86320.25527
209	86246.05552
210	86210.78936
211	86171.34675
212	86092.96101
213	86044.47559
214	85979.28333
215	85929.59745
216	85886.73953
217	85859.95697
218	85823.92934
219	85787.09993
220	85738.09061
221	85734.15736
222	85670.28098
223	85644.5918
224	85621.64157
225	85558.13316
226	85529.22775
227	85483.20855
228	85426.97461
229	85396.88399
230	85368.22097
231	85335.5821
232	85297.6889
233	85258.90938
234	85257.41139
235	85236.11596
236	85170.6757
237	85164.37034
238	85112.87133
239	85083.70219
240	85064.84991
241	85040.27882
242	85005.10452
243	84918.37744
244	84845.78117
245	84767.73717
246	84712.83274
247	84658.33238
248	84629.85512
249	84566.06474
250	84556.58723
251	84543.58656
252	84479.84756
253	84427.15533
254	84403.24762
255	84372.23034
256	84303.14831
257	84242.98951
258	84235.84678
259	84170.13447
260	84133.32793
261	84093.53038
262	84054.35904
263	84031.77547
264	84012.09029
265	83976.40015
266	83872.56146
267	83829.70529
268	83826.90295
269	83786.56376
270	83778.16446
271	83738.26842
272	83685.99252
273	83627.78068
274	83576.02982
275	83535.32843
276	83499.34213
277	83464.48708
278	83397.60712
279	83361.14442
280	83305.39212
281	83244.66702
282	83205.90705
283	83145.89792
284	83124.34817
285	83078.75184
286	83051.07729
287	83035.61593
288	83031.4231
289	83028.94297
290	82957.23191
291	82897.59141
292	82855.70154
293	82794.13287
294	82759.54334
295	82736.11627
296	82667.2052
297	82604.66131
298	82569.42067
299	82551.50633
300	82530.33644
301	82497.79341
302	82468.22946
303	82430.94723
304	82406.30963
305	82332.19607
306	82286.26608
307	82236.158
308	82223.08684
309	82197.45948
310	82170.72543
311	82152.17208
312	82140.75676
313	82121.25957
314	82092.59631
315	82077.01077
316	82014.5614
317	81921.41604
318	81918.75908
319	81910.71473
320	81874.28456
321	81838.62655
322	81809.61384
323	81789.12721
324	81756.69286
325	81746.80814
326	81731.00644
327	81715.43345
328	81709.74868
329	81696.83023
330	81654.90846
331	81617.6032
332	81548.96263
333	81530.53553
334	81480.35712
335	81469.96487
336	81433.38261
337	81411.87115
338	81383.78909
339	81355.45974
340	81323.73689
341	81296.58994
342	81287.88825
343	81284.07926
344	81267.75547
345	81249.15186
346	81224.36182
347	81171.80259
348	81147.92013
349	81100.28803
350	81072.10151
351	81057.37482
352	81039.42097
353	80994.1165
354	80952.52271
355	80932.15995
356	80903.0451
357	80878.30213
358	80862.30737
359	80809.3679
360	80794.84352
361	80766.41225
362	80743.25695
363	80740.48461
364	80728.0122
365	80673.58301
366	80643.0386
367	80614.31295
368	80577.34372
369	80546.98538
370	80511.49794
371	80494.9472
372	80487.42159
373	80471.71153
374	80432.30957
375	80421.47339
376	80404.45893
377	80393.37698
378	80378.84081
379	80348.60556
380	80297.18508
381	80283.2774
382	80251.3523
383	80196.56496
384	80180.82927
385	80160.52938
386	80157.22785
387	80132.30228
388	80100.50262
389	80089.63619
390	80071.76799
391	80036.79525
