iter	Passed	Remaining
0	202	202714
1	255	127641
2	316	105056
3	366	91380
4	419	83578
5	475	78763
6	527	74866
7	579	71914
8	630	69398
9	679	67247
10	730	65668
11	780	64288
12	832	63192
13	889	62674
14	941	61812
15	992	61034
16	1040	60186
17	1091	59534
18	1147	59235
19	1190	58351
20	1227	57202
21	1277	56781
22	1328	56427
23	1379	56100
24	1429	55745
25	1480	55446
26	1529	55111
27	1581	54908
28	1631	54618
29	1682	54391
30	1735	54257
31	1786	54042
32	1836	53809
33	1888	53645
34	1939	53469
35	1990	53293
36	2039	53082
37	2090	52928
38	2142	52791
39	2191	52600
40	2240	52414
41	2290	52252
42	2341	52122
43	2393	51996
44	2441	51810
45	2490	51647
46	2539	51498
47	2588	51346
48	2638	51201
49	2689	51109
50	2738	50950
51	2787	50819
52	2835	50671
53	2886	50562
54	2938	50484
55	2989	50401
56	3041	50325
57	3132	50879
58	3177	50683
59	3228	50572
60	3289	50641
61	3361	50859
62	3431	51029
63	3486	50989
64	3535	50851
65	3583	50715
66	3631	50572
67	3679	50427
68	3730	50340
69	3782	50249
70	3840	50253
71	3895	50213
72	3952	50187
73	4002	50082
74	4054	50002
75	4106	49929
76	4158	49852
77	4221	49896
78	4272	49807
79	4323	49722
80	4375	49640
81	4428	49578
82	4480	49500
83	4528	49386
84	4580	49308
85	4634	49256
86	4684	49161
87	4735	49075
88	4785	48988
89	4839	48930
90	4895	48904
91	4948	48840
92	5000	48772
93	5053	48705
94	5109	48670
95	5169	48676
96	5221	48610
97	5272	48526
98	5323	48447
99	5373	48364
100	5424	48287
101	5475	48208
102	5530	48162
103	5580	48080
104	5631	48003
105	5684	47938
106	5733	47853
107	5784	47773
108	5909	48305
109	5962	48244
110	6027	48270
111	6076	48180
112	6125	48082
113	6172	47974
114	6222	47889
115	6272	47803
116	6324	47734
117	6376	47663
118	6428	47595
119	6480	47523
120	6531	47447
121	6586	47404
122	6639	47342
123	6690	47267
124	6740	47185
125	6791	47108
126	6844	47046
127	6897	46988
128	6958	46985
129	7008	46906
130	7060	46839
131	7113	46776
132	7163	46699
133	7211	46602
134	7260	46521
135	7312	46455
136	7362	46381
137	7411	46296
138	7460	46212
139	7512	46148
140	7562	46072
141	7612	45998
142	7664	45934
143	7717	45873
144	7767	45803
145	7819	45738
146	7869	45665
147	7920	45595
148	7968	45510
149	8019	45445
150	8071	45382
151	8127	45344
152	8179	45282
153	8229	45206
154	8283	45158
155	8336	45102
156	8385	45027
157	8439	44975
158	8496	44938
159	8554	44911
160	8604	44837
161	8656	44776
162	8705	44702
163	8756	44637
164	8806	44565
165	8865	44541
166	8915	44469
167	8967	44411
168	9018	44346
169	9069	44282
170	9119	44210
171	9161	44104
172	9210	44029
173	9260	43961
174	9317	43923
175	9366	43853
176	9417	43787
177	9468	43723
178	9521	43672
179	9570	43600
180	9625	43553
181	9678	43500
182	9730	43441
183	9779	43368
184	9829	43301
185	9881	43244
186	9932	43181
187	9982	43114
188	10033	43052
189	10084	42990
190	10137	42936
191	10190	42886
192	10239	42815
193	10291	42756
194	10343	42699
195	10395	42642
196	10445	42578
197	10495	42510
198	10545	42448
199	10597	42388
200	10648	42328
201	10698	42263
202	10749	42204
203	10800	42143
204	10850	42080
205	10900	42015
206	10950	41950
207	11002	41894
208	11053	41834
209	11104	41773
210	11156	41719
211	11211	41672
212	11265	41625
213	11317	41569
214	11368	41507
215	11418	41445
216	11469	41384
217	11519	41322
218	11571	41268
219	11624	41214
220	11679	41167
221	11730	41110
222	11784	41059
223	11835	41002
224	11887	40946
225	11940	40892
226	12016	40920
227	12069	40865
228	12119	40803
229	12170	40743
230	12222	40689
231	12277	40641
232	12336	40608
233	12385	40542
234	12437	40489
235	12489	40431
236	12539	40371
237	12589	40307
238	12642	40254
239	12694	40197
240	12742	40130
241	12792	40068
242	12844	40014
243	12896	39958
244	12946	39896
245	13000	39846
246	13049	39782
247	13101	39726
248	13151	39664
249	13204	39612
250	13252	39547
251	13299	39475
252	13349	39415
253	13397	39348
254	13453	39306
255	13505	39249
256	13573	39241
257	13627	39193
258	13693	39176
259	13745	39122
260	13800	39074
261	13852	39020
262	13905	38967
263	13958	38914
264	14009	38857
265	14061	38799
266	14110	38737
267	14161	38679
268	14211	38619
269	14264	38566
270	14303	38476
271	14352	38414
272	14408	38370
273	14462	38320
274	14522	38287
275	14573	38228
276	14626	38175
277	14678	38121
278	14730	38067
279	14788	38027
280	14838	37968
281	14890	37912
282	14947	37869
283	15001	37819
284	15065	37796
285	15119	37746
286	15170	37689
287	15224	37638
288	15272	37574
289	15323	37517
290	15374	37458
291	15428	37407
292	15480	37352
293	15539	37315
294	15592	37263
295	15650	37221
296	15699	37161
297	15753	37111
298	15810	37068
299	15867	37023
300	15925	36984
301	15979	36932
302	16033	36883
303	16082	36819
304	16134	36766
305	16187	36712
306	16236	36650
307	16286	36592
